Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Shortest Path to Get Food,1730,Medium,"Array, Breadth-First Search, Matrix","Amazon, Bloomberg, DoorDash, Google",https://leetcode.com/problems/shortest-path-to-get-food,123778,68384
Find the Highest Altitude,1732,Easy,"Array, Prefix Sum","Apple, Cisco, De Shaw India, Expedia",https://leetcode.com/problems/find-the-highest-altitude,571236,477563
Minimum Number of People to Teach,1733,Medium,"Array, Greedy, Hash Table","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/minimum-number-of-people-to-teach,23739,10283
Decode XORed Permutation,1734,Medium,"Array, Bit Manipulation",Amazon,https://leetcode.com/problems/decode-xored-permutation,25363,16623
Count Ways to Make Array With Product,1735,Hard,"Array, Combinatorics, Dynamic Programming, Math, Number Theory",Amazon,https://leetcode.com/problems/count-ways-to-make-array-with-product,12505,6511
Latest Time by Replacing Hidden Digits,1736,Easy,"Greedy, String",Google,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits,91187,39205
Change Minimum Characters to Satisfy One of Three Conditions,1737,Medium,"Counting, Hash Table, Prefix Sum, String",Google,https://leetcode.com/problems/change-minimum-characters-to-satisfy-one-of-three-conditions,38608,14266
Find Kth Largest XOR Coordinate Value,1738,Medium,"Array, Bit Manipulation, Divide and Conquer, Heap (Priority Queue), Matrix, Prefix Sum, Quickselect, Sorting",Google,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value,38548,24033
Building Boxes,1739,Hard,"Binary Search, Greedy, Math",CodeNation,https://leetcode.com/problems/building-boxes,15344,7956
Find Distance in a Binary Tree,1740,Medium,"Binary Tree, Breadth-First Search, Depth-First Search, Hash Table, Tree","Amazon, Facebook, Google, Microsoft, Oracle, Uber",https://leetcode.com/problems/find-distance-in-a-binary-tree,43437,32003
Maximum Number of Balls in a Box,1742,Easy,"Counting, Hash Table, Math",Microsoft,https://leetcode.com/problems/maximum-number-of-balls-in-a-box,93004,68530
Restore the Array From Adjacent Pairs,1743,Medium,"Array, Depth-First Search, Hash Table","Accenture, Capital One, Microsoft, Uber, Visa",https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,148157,110760
Can You Eat Your Favorite Candy on Your Favorite Day?,1744,Medium,"Array, Prefix Sum","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day,32723,11334
